Base Distance:,20 cm,

Angle,X axis,Y axis,Z axis,Magnitude,Time,
20 degrees,5.113,24.393,-15.457,29.32712169647748,129.34175205230713,
40 degrees,13.927,23.325,-16.476,31.772244648434896,134.88522505760193,
60 degrees,23.095,19.408,-17.155,34.70365274722533,138.27584171295166,
80 degrees,29.794,12.998,-15.796,36.14061504733974,149.28508138656616,
100 degrees,33.672,5.876,-19.193,39.200793474112224,151.9906029701233,
120 degrees,33.849,-2.849,-18.684,38.768072662952946,156.10465145111084,
140 degrees,32.615,-11.93,-20.212,40.18193709865168,160.05281949043274,
160 degrees,27.855,-20.654,-15.966,38.17593347909125,165.1035873889923,
180 degrees,20.45,-24.927,-14.268,35.25810053023277,167.96750378608704,
200 degrees,11.459,-31.159,-13.418,35.80830470714859,219.69282293319702,
220 degrees,2.997,-30.091,-11.72,32.43160017637119,222.71116542816162,
240 degrees,-6.876,-25.462,-12.739,29.289502232028457,225.71982097625732,
260 degrees,-14.456,-19.23,-13.928,27.798525500464947,229.44703936576843,
280 degrees,-18.511,-7.656,-12.06,23.38193869207598,232.8420751094818,
300 degrees,-18.335,4.273,-12.229,22.449480951683494,235.2137632369995,
320 degrees,-13.751,8.903,-12.229,20.442647847086736,238.8500006198883,
340 degrees,-12.164,15.134,-12.739,23.22246698781161,241.18830013275146,
360 degrees,-2.292,21.544,-13.418,25.484111206789223,243.9893970489502,
