Distance,X axis,Y axis,Z axis,Magnitude,Time,
2 cm,-31.028,-315.509,1174.362,1216.4023893880676,22.462587594985962,
4 cm,-7.581,-25.818,264.8,266.1636351664141,28.7472026348114,
6 cm,-4.936,3.205,96.816,96.9947110774603,36.533015727996826,
8 cm,-5.113,11.573,35.839,38.00672333943035,42.96063280105591,
10 cm,-5.818,13.354,12.399,19.128869307933492,49.01408886909485,
12 cm,-5.641,14.956,-2.038,16.11385307739896,53.410151720047,
14 cm,-4.584,16.737,-8.153,19.173200932551662,58.055787086486816,
16 cm,-2.997,19.408,-11.72,22.869430972370083,62.70360541343689,
18 cm,-2.468,19.23,-15.287,24.68959888293044,67.0186402797699,
20 cm,-0.176,22.257,-15.796,27.293197705655526,69.96896767616272,
